,probe_id
202,cg04575263
203,cg12554051
204,cg10957242
205,cg17878139
206,cg06010356
207,cg26214972
208,cg19549465
209,cg17325716
210,cg08894131
211,cg20018561
212,cg03408556
213,cg10308137
214,cg22416916
215,cg19586199
216,cg09918605
217,cg12391352
218,cg04396637
219,cg06734406
220,cg02152120
221,cg22069441
222,cg26538529
223,cg08522087
224,cg07790079
225,cg15874062
226,cg03674265
227,cg19761304
228,cg19477190
229,cg21000936
230,cg04836978
231,cg11539780
232,cg05170867
233,cg14538441
234,cg04395184
235,cg01602153
236,cg04645063
237,cg07561469
238,cg02817925
239,cg19958696
240,cg05351940
241,cg15032962
242,cg06915193
243,cg06873316
244,cg06636372
245,cg07675334
246,cg13051700
247,cg03661428
248,cg09180239
249,cg07700920
250,cg01237565
251,cg09201001
252,cg00885176
253,cg20586210
254,cg25868998
255,cg12866648
256,cg18090103
257,cg23643471
258,cg12458361
259,cg22455250
260,cg11353984
261,cg25268100
262,cg04553960
263,cg08134704
264,cg22730305
265,cg25293896
266,cg11227604
267,cg12172057
268,cg00376283
269,cg22493117
270,cg01421963
271,cg13817395
272,cg00751937
273,cg12943539
274,cg10580335
275,cg06234941
276,cg14260073
277,cg13112361
278,cg16690037
279,cg09655782
280,cg00811777
281,cg26422488
282,cg21741562
283,cg13320898
284,cg17206748
285,cg05962950
286,cg03337507
287,cg16985113
288,cg19990651
289,cg14655855
290,cg14190975
291,cg08039823
292,cg13558754
293,cg18864914
294,cg24607181
295,cg05863502
296,cg10899301
297,cg11059617
298,cg13814708
299,cg22457668
300,cg04907523
301,cg08286799
302,cg08818886
303,cg00266715
304,cg06641959
305,cg11163620
306,cg06995624
307,cg17490932
308,cg22441074
309,cg16370869
310,cg00940867
311,cg14485633
312,cg24159891
313,cg17585615
314,cg05647859
315,cg27535237
316,cg21159768
317,cg06895436
318,cg08108321
319,cg00178511
320,cg03028106
321,cg11342130
322,cg00401797
323,cg25049597
324,cg16246200
325,cg09966455
326,cg16546279
327,cg19032951
328,cg17847861
329,cg22907065
330,cg27312312
331,cg09628838
332,cg02752958
333,cg16743310
334,cg07831731
335,cg21222178
336,cg24703018
337,cg16739845
338,cg13469471
339,cg17278771
340,cg11540341
341,cg12905688
342,cg04486778
343,cg22796860
344,cg16963144
345,cg14885145
346,cg03631076
347,cg05313918
348,cg15611108
349,cg06640607
350,cg14386946
351,cg27331759
352,cg26706909
353,cg19538733
354,cg18588835
355,cg22417589
356,cg01052614
357,cg04010091
358,cg08871011
359,cg18960028
360,cg25042346
361,cg14492599
362,cg23069036
363,cg18328404
364,cg00719332
365,cg23709117
366,cg10663408
367,cg12914966
368,cg08908855
369,cg04797323
370,cg07231005
371,cg07096305
372,cg04010471
373,cg04917511
374,cg00539386
375,cg15544402
376,cg24583966
377,cg13977827
378,cg25337069
379,cg14507002
380,cg03700135
381,cg22991320
382,cg19946085
383,cg04398983
384,cg19033073
385,cg20643039
386,cg01603073
387,cg08799865
388,cg03559817
389,cg09178700
390,cg05253109
391,cg22461615
392,cg13912307
393,cg02317785
394,cg08246366
395,cg21176130
396,cg04057238
397,cg13934606
398,cg22080061
399,cg07777352
400,cg08828607
401,cg17108364
402,cg02082720
403,cg00094256
404,cg01278596
405,cg21620107
406,cg12890650
407,cg00519346
408,cg04789839
409,cg14209037
410,cg08545132
411,cg10627839
412,cg13440296
413,cg26615813
414,cg02285254
415,cg01410878
416,cg06008401
417,cg07145229
418,cg17386466
419,cg08319417
420,cg11185978
421,cg05555455
422,cg13741289
423,cg02167193
424,cg16441919
425,cg06845943
426,cg03354590
427,cg20077343
428,cg08000459
429,cg00629941
430,cg00275181
431,cg02305353
432,cg25030467
433,cg16588073
434,cg25202298
435,cg00589864
436,cg15803122
437,cg15012572
438,cg11265516
439,cg12025258
440,cg17541810
441,cg02816367
442,cg02774542
443,cg25059590
444,cg21534623
445,cg10297165
446,cg12019806
447,cg14231704
448,cg04286878
449,cg00691266
450,cg18039556
451,cg08889044
452,cg13009662
453,cg17449018
454,cg15737177
455,cg06839900
456,cg07908422
457,cg01021385
458,cg19550490
459,cg19706446
460,cg01021742
461,cg03508643
462,cg17198762
463,cg22736383
464,cg06699286
465,cg14542196
466,cg21260072
467,cg15469871
468,cg25363336
469,cg13372743
470,cg03641858
471,cg05684773
472,cg14404746
473,cg03953500
474,cg00020340
475,cg10255879
476,cg08323893
477,cg05611007
478,cg14417407
479,cg06088084
480,cg04335562
481,cg15521792
482,cg04686264
483,cg10432987
484,cg24071719
485,cg15880211
486,cg27338957
487,cg02888048
488,cg04557544
489,cg10693616
490,cg13836422
491,cg03370193
492,cg15831060
493,cg05360265
494,cg22177795
495,cg12266551
496,cg00858015
497,cg23003534
498,cg12314510
499,cg08521178
500,cg11018723
501,cg23774896
502,cg10178263
503,cg27156542
504,cg20533952
505,cg15201536
506,cg06797617
507,cg19967717
508,cg23391090
509,cg20152424
510,cg23949969
511,cg19704726
512,cg09373364
513,cg00225902
514,cg13085895
515,cg02623400
516,cg02873997
517,cg15322963
518,cg06128920
519,cg22872812
520,cg03679755
521,cg25147601
522,cg14236735
523,cg09267776
524,cg18238366
525,cg25695068
526,cg26378453
527,cg23015983
528,cg13352750
529,cg12538435
530,cg12998491
531,cg01690366
532,cg24786232
533,cg17510997
534,cg05773599
535,cg03946671
536,cg08189615
537,cg23754431
538,cg08493959
539,cg20301722
540,cg22888055
541,cg16569430
542,cg11112791
543,cg17978562
544,cg21304062
545,cg11761729
546,cg25794571
547,cg00358442
548,cg18160291
549,cg18185028
550,cg09705456
551,cg18224653
552,cg01489441
553,cg11018432
554,cg09797337
555,cg13071386
556,cg08165971
557,cg00795341
558,cg16996571
559,cg01002891
560,cg02890368
561,cg03264550
562,cg11889769
563,cg00566635
564,cg20278383
565,cg16997203
566,cg14022645
567,cg24011501
568,cg07689252
569,cg24938752
570,cg21767373
571,cg03538480
572,cg22013210
573,cg13575271
574,cg02090418
575,cg03921149
576,cg08277679
577,cg17088007
578,cg14663510
579,cg03108139
580,cg20644426
581,cg23570378
582,cg22175303
583,cg21080506
584,cg01351822
585,cg02429656
586,cg10735632
587,cg25597760
588,cg05420668
589,cg20029003
590,cg15766571
591,cg20620147
592,cg20253172
593,cg20016411
594,cg06600420
595,cg18482098
596,cg21220708
597,cg18692955
598,cg23422659
599,cg09131844
600,cg01370179
601,cg11903177
602,cg23279756
603,cg16773043
604,cg17359064
605,cg15432125
606,cg19138865
607,cg08363339
608,cg04656534
609,cg13798431
610,cg04607261
611,cg23227355
612,cg09336988
613,cg23463205
614,cg01369328
615,cg05944369
616,cg20792107
617,cg14571130
618,cg18139254
619,cg24272254
620,cg04314218
621,cg26322231
622,cg09760200
623,cg16600501
624,cg05351887
625,cg21970554
626,cg05506446
627,cg20136738
628,cg04481596
629,cg24960960
630,cg19164917
631,cg05499189
632,cg12700033
633,cg11961495
634,cg12307787
635,cg02243437
636,cg01975461
637,cg00479908
638,cg14689623
639,cg16631544
640,cg24448326
641,cg02317299
642,cg10556064
643,cg16106804
644,cg19704554
645,cg21681396
646,cg24123563
647,cg18386310
648,cg24226528
649,cg02366959
650,cg16987101
651,cg08289412
652,cg13900773
653,cg25134567
654,cg26489682
655,cg03546505
656,cg16978871
657,cg09830037
658,cg09097697
659,cg27590748
660,cg20609063
661,cg12269355
662,cg26617938
663,cg23496358
664,cg24822696
665,cg15906052
666,cg03439990
667,cg09865676
668,cg00997411
669,cg11459648
670,cg15830544
671,cg00982641
672,cg10266068
673,cg19509514
674,cg24794322
675,cg00884093
676,cg15500320
677,cg04590366
678,cg10542336
679,cg16219302
680,cg06851336
681,cg22817719
682,cg12316865
683,cg01649597
684,cg18061259
685,cg18096251
686,cg23868672
687,cg00828556
688,cg25074794
689,cg02873315
690,cg23347273
691,cg12165240
692,cg06993041
693,cg00236302
694,cg13074835
695,cg05996795
696,cg17162475
697,cg10453419
698,cg19559984
699,cg04254198
700,cg05302542
701,cg21454656
702,cg22249789
703,cg07142961
704,cg04330513
705,cg08169020
706,cg20540942
707,cg09742915
708,cg20251973
709,cg24374159
710,cg15971980
711,cg09731958
712,cg10884288
713,cg20237291
714,cg05524529
715,cg00573880
716,cg10349879
717,cg18374697
718,cg20015269
719,cg06357305
720,cg16725304
721,cg13910493
722,cg19397703
723,cg04120839
724,cg03650154
725,cg24997298
726,cg02464979
727,cg22950223
728,cg16852685
729,cg21587837
730,cg23740135
731,cg00046913
732,cg00109451
733,cg20747266
734,cg17031787
735,cg21891490
736,cg15547276
737,cg03817671
738,cg09096054
739,cg01818492
740,cg02422689
741,cg08737152
742,cg21501616
743,cg14848772
744,cg14881209
745,cg13700448
746,cg27641141
747,cg08961258
748,cg03899909
749,cg18656132
750,cg03940643
751,cg02758706
752,cg15709989
753,cg22516213
754,cg10703338
755,cg18464790
756,cg06302025
757,cg06422471
758,cg15720343
759,cg24751934
760,cg06122871
761,cg15186638
762,cg24541021
763,cg12706964
764,cg05901765
765,cg15101980
766,cg23941787
767,cg20241801
768,cg22208012
769,cg25807487
770,cg03828109
771,cg25142308
772,cg22086828
773,cg18653451
774,cg22082347
775,cg26105015
776,cg16750801
777,cg12395929
778,cg23028436
779,cg21044833
780,cg23714660
781,cg12943255
782,cg24828603
783,cg14978307
784,cg21896938
785,cg07381502
786,cg05022301
787,cg15133748
788,cg27326469
789,cg22674613
790,cg10576032
791,cg24175580
792,cg22342925
793,cg12639324
794,cg14376917
795,cg10004563
796,cg10564075
797,cg24881330
798,cg26139133
799,cg02446647
800,cg15205204
801,cg17635294
802,cg12182937
803,cg19548524
804,cg23963153
805,cg02350790
806,cg01141572
807,cg10099415
808,cg27169819
809,cg13374701
810,cg17274953
811,cg01796104
812,cg00401101
813,cg17967071
814,cg07835289
815,cg05467676
816,cg26838691
817,cg06060835
818,cg27266176
819,cg04716580
820,cg05972352
821,cg03054303
822,cg15989926
823,cg08727957
824,cg05157912
825,cg13607935
826,cg26380756
827,cg05060949
828,cg07522664
829,cg04409932
830,cg21553524
831,cg23901592
832,cg21140931
833,cg11827998
834,cg17907238
835,cg20315951
836,cg09401661
837,cg11090676
838,cg16405166
839,cg04219515
840,cg14560317
841,cg03130962
842,cg19504702
843,cg01453053
844,cg11686940
845,cg04369109
846,cg00984694
847,cg11392062
848,cg24513433
849,cg06351537
850,cg06785788
851,cg03136712
852,cg08509172
853,cg27478700
854,cg17856536
855,cg15829642
856,cg25970533
857,cg10310846
858,cg01021547
859,cg21205468
860,cg19026977
861,cg26945811
862,cg22813821
863,cg01504718
864,cg19187155
865,cg10904986
866,cg22805990
867,cg02407415
868,cg25783719
869,cg24833737
870,cg14132868
871,cg20540714
872,cg10210571
873,cg21050234
874,cg18252039
875,cg07473634
876,cg01161811
877,cg24302095
878,cg12528144
879,cg01308827
880,cg11140595
881,cg25257677
882,cg02170290
883,cg22347967
884,cg07274300
885,cg13132577
886,cg14774045
887,cg13564289
888,cg19959974
889,cg05657462
890,cg12140441
891,cg04565649
892,cg23633635
893,cg03173679
894,cg03646189
895,cg16678185
896,cg11974977
897,cg16195332
898,cg17402373
899,cg01043997
900,cg20428033
901,cg09985530
902,cg22855933
903,cg08060501
904,cg25644556
905,cg23116504
906,cg09144480
907,cg06759058
908,cg16907919
909,cg26683316
910,cg11349878
911,cg02803508
912,cg18315834
913,cg26644781
914,cg05372495
915,cg03738384
916,cg11293572
917,cg16874494
918,cg25407064
919,cg25147376
920,cg11602546
921,cg20767356
922,cg15768968
923,cg13516768
924,cg27424244
925,cg24623068
926,cg12651851
927,cg13654135
928,cg15694127
929,cg06922731
930,cg27122127
931,cg09343092
932,cg24822053
933,cg19489885
934,cg20180092
935,cg14153126
936,cg17853707
937,cg14788660
938,cg00559018
939,cg19706320
940,cg00563892
941,cg13063344
942,cg15291980
943,cg14236957
944,cg16922785
945,cg18723873
946,cg24441975
947,cg02938429
948,cg05712296
949,cg10974104
950,cg09055489
951,cg25729807
952,cg27370991
953,cg00174918
954,cg16255631
955,cg05639624
956,cg14486338
957,cg07891820
958,cg04338055
959,cg09907096
960,cg08568720
961,cg09070199
962,cg11026555
963,cg24128590
964,cg03721657
965,cg14059340
966,cg20873718
967,cg00935119
968,cg14983362
969,cg15447787
970,cg23540020
971,cg11265528
972,cg24122498
973,cg19645734
974,cg26334023
975,cg18582180
976,cg22678952
977,cg23244022
978,cg15052447
979,cg19759454
980,cg08463306
981,cg00194465
982,cg26275242
983,cg18172830
984,cg15202102
985,cg26465547
986,cg23062112
987,cg27567474
988,cg10363578
989,cg19032492
990,cg09938328
991,cg23043438
992,cg16480660
993,cg13375518
994,cg19380361
995,cg26009245
996,cg12608565
997,cg11886554
998,cg25028523
999,cg13247581
1000,cg11605771
1001,cg03974347
1002,cg24663256
1003,cg05922771
1004,cg11566977
1005,cg07863439
1006,cg12185435
1007,cg02000145
1008,cg00133234
1009,cg23253569
1010,cg25756129
1011,cg16232530
1012,cg00263677
1013,cg09475510
1014,cg16094412
1015,cg05827546
1016,cg12342027
1017,cg20216802
1018,cg17779026
1019,cg27228276
1020,cg23543318
1021,cg06595130
1022,cg22198044
1023,cg19830147
1024,cg13681781
1025,cg06168050
1026,cg24424146
1027,cg15719572
1028,cg22487414
1029,cg18566515
1030,cg02884884
1031,cg21907156
1032,cg15316843
1033,cg16795455
1034,cg01917416
1035,cg09135113
1036,cg00124375
1037,cg21142257
1038,cg14282180
1039,cg00414561
1040,cg22371492
1041,cg10115987
1042,cg07810164
1043,cg01222133
1044,cg01610165
1045,cg07364009
1046,cg15007222
1047,cg05348768
1048,cg02552216
1049,cg26230759
1050,cg10763234
1051,cg24363811
1052,cg24741563
1053,cg27486637
1054,cg21073520
1055,cg00220905
1056,cg04076264
1057,cg14601050
1058,cg01773858
1059,cg23866403
1060,cg14447606
1061,cg16601171
1062,cg26796396
1063,cg11964308
1064,cg23962483
1065,cg20709110
1066,cg08874471
1067,cg07404363
1068,cg00767644
1069,cg14492773
1070,cg12755298
1071,cg09985698
1072,cg05153851
1073,cg02354343
1074,cg23250288
1075,cg12881726
1076,cg26820811
1077,cg09503234
1078,cg23041109
1079,cg24286770
1080,cg10311240
1081,cg23323712
1082,cg08516222
1083,cg26116980
1084,cg18019825
1085,cg05733364
1086,cg21793948
1087,cg07519816
1088,cg05472468
1089,cg11412466
1090,cg07365816
1091,cg17691662
1092,cg19765175
1093,cg16592453
1094,cg09648697
1095,cg18892473
1096,cg19319928
1097,cg27310827
1098,cg02395917
1099,cg04088773
1100,cg08265551
1101,cg03696599
1102,cg12177182
1103,cg07455789
1104,cg16493531
1105,cg15985196
1106,cg02054792
1107,cg26804023
1108,cg06994813
1109,cg26410557
1110,cg23797839
1111,cg19952095
1112,cg02823457
1113,cg12195102
1114,cg12634124
1115,cg22732515
1116,cg17794524
1117,cg24731441
1118,cg04517722
1119,cg03580106
1120,cg23717686
1121,cg14126020
1122,cg07571509
1123,cg26938847
1124,cg27495769
1125,cg20863409
1126,cg12245770
1127,cg17149563
1128,cg02941903
1129,cg25853960
1130,cg00860370
1131,cg17203313
1132,cg11180921
1133,cg13568992
1134,cg14230666
1135,cg09248944
1136,cg08765317
1137,cg22603247
1138,cg08659394
1139,cg05764847
1140,cg11463612
1141,cg16296745
1142,cg06108461
1143,cg15390554
1144,cg19105961
1145,cg17784749
1146,cg11663289
1147,cg23724873
1148,cg09062638
1149,cg15758147
1150,cg02126603
1151,cg02009103
1152,cg16271912
1153,cg02881034
1154,cg03112087
1155,cg00076195
1156,cg10077239
1157,cg25849068
1158,cg17977470
1159,cg15055039
1160,cg22749589
1161,cg09972077
1162,cg19206653
1163,cg24000099
1164,cg10670310
1165,cg03587422
1166,cg10010533
1167,cg19672993
1168,cg12119715
1169,cg00963305
1170,cg19736654
1171,cg04933640
1172,cg07355841
1173,cg04207045
1174,cg16825211
1175,cg13505011
1176,cg09184192
1177,cg13467964
1178,cg25619106
1179,cg23847381
1180,cg20326928
1181,cg10747192
1182,cg15345074
1183,cg21139150
1184,cg00764560
1185,cg23807196
1186,cg21131339
1187,cg02461502
1188,cg16916165
1189,cg15739543
1190,cg00902415
1191,cg09374949
1192,cg13048808
1193,cg13927782
1194,cg21480173
1195,cg07659934
1196,cg01978368
1197,cg01049205
1198,cg10627262
1199,cg10750464
1200,cg15920621
1201,cg02578673
1202,cg05161602
1203,cg06656414
1204,cg14301932
1205,cg19999567
1206,cg20957428
1207,cg08101303
1208,cg12813394
1209,cg23385395
1210,cg14312959
1211,cg12984349
1212,cg15089025
1213,cg06959021
1214,cg10535597
1215,cg08083988
1216,cg26450586
1217,cg14561672
1218,cg05247799
1219,cg25516022
1220,cg21315798
1221,cg14149007
1222,cg09115275
1223,cg25821781
1224,cg07611106
1225,cg23804620
1226,cg06837355
1227,cg01320969
1228,cg25273340
1229,cg06993467
1230,cg21952901
1231,cg17710671
1232,cg21129641
1233,cg07721005
1234,cg12841929
1235,cg21958871
1236,cg23910765
1237,cg08192414
1238,cg24525630
1239,cg18789786
1240,cg01885839
1241,cg18705773
1242,cg16984619
1243,cg24309040
1244,cg04376644
1245,cg02032606
1246,cg27591349
1247,cg19025234
1248,cg06545139
1249,cg12166502
1250,cg16009311
1251,cg13224077
1252,cg13115118
1253,cg14016089
1254,cg21692664
1255,cg09474156
1256,cg24880056
1257,cg13254588
1258,cg16232702
1259,cg11237426
1260,cg09360748
1261,cg03146073
1262,cg25814612
1263,cg19108952
1264,cg04752871
1265,cg19630440
1266,cg18585642
1267,cg20609752
1268,cg02291365
1269,cg05447100
1270,cg16170181
1271,cg15587508
1272,cg25947945
1273,cg02577368
1274,cg18844382
1275,cg26888493
1276,cg19498237
1277,cg20574550
1278,cg11908751
1279,cg14944575
1280,cg06734429
1281,cg18924493
1282,cg26678012
1283,cg11833275
1284,cg08266417
1285,cg07865580
1286,cg07541744
1287,cg16590635
1288,cg10582690
1289,cg05515034
1290,cg00164941
1291,cg26018312
1292,cg21869590
1293,cg25001691
1294,cg22529900
1295,cg01071313
1296,cg19622078
1297,cg05106294
1298,cg16987804
1299,cg23520458
1300,cg06658637
1301,cg10165071
1302,cg11586605
1303,cg06389554
1304,cg07392088
1305,cg25983589
1306,cg01434618
1307,cg07883600
1308,cg26694831
1309,cg27154391
1310,cg02747412
1311,cg11416243
1312,cg23684074
1313,cg21755806
1314,cg02429398
1315,cg27549834
1316,cg10338082
1317,cg20563759
1318,cg23473285
1319,cg17400366
1320,cg00039794
1321,cg14036303
1322,cg20686277
1323,cg25594486
1324,cg17810691
1325,cg12138063
1326,cg11688628
1327,cg02770249
1328,cg26277456
1329,cg10451253
1330,cg13662644
1331,cg14592406
1332,cg26718878
1333,cg05362517
1334,cg14140717
1335,cg24955156
1336,cg22700854
1337,cg15731669
1338,cg03146993
1339,cg02372421
1340,cg24535622
1341,cg02031980
1342,cg13610421
1343,cg16648355
1344,cg01062269
1345,cg18863135
1346,cg08443851
1347,cg00034416
1348,cg27353143
1349,cg18232313
1350,cg16531664
1351,cg02869694
1352,cg12730088
1353,cg15035097
1354,cg22402853
1355,cg03124478
1356,cg10781408
1357,cg13775005
1358,cg05216888
1359,cg21985251
1360,cg24824417
1361,cg15548613
1362,cg19643390
1363,cg12832630
1364,cg19880977
1365,cg12437873
1366,cg05009389
1367,cg04081153
1368,cg07626874
1369,cg00229039
1370,cg13691247
1371,cg14862111
1372,cg18909516
1373,cg02479497
1374,cg09791621
1375,cg22665692
1376,cg26953640
1377,cg07067085
1378,cg01276616
1379,cg13115616
1380,cg16675700
1381,cg00945209
1382,cg17223045
1383,cg02161919
1384,cg08847919
1385,cg15089794
1386,cg26423677
1387,cg19148440
1388,cg02953927
1389,cg11204139
1390,cg21863110
1391,cg02971575
1392,cg19590591
1393,cg15462411
1394,cg23034840
1395,cg19676328
1396,cg07432643
1397,cg07155478
1398,cg22699004
1399,cg21062897
1400,cg07998558
1401,cg04994773
1402,cg24033330
1403,cg03695251
1404,cg23432654
1405,cg06206902
1406,cg01387073
1407,cg14528437
1408,cg17140797
1409,cg24254517
1410,cg03410436
1411,cg15010352
1412,cg10819617
1413,cg00810836
1414,cg16366843
1415,cg12550317
1416,cg26342671
1417,cg25910466
1418,cg22865542
1419,cg13266435
1420,cg09453870
1421,cg14391148
1422,cg14575559
1423,cg16620382
1424,cg26181929
1425,cg24458329
1426,cg02910208
1427,cg16824069
1428,cg21920469
1429,cg22903655
1430,cg06397345
1431,cg08218101
1432,cg06147822
1433,cg22696982
1434,cg05792022
1435,cg14530382
1436,cg12461469
1437,cg22832279
1438,cg23281714
1439,cg02969141
1440,cg19613592
1441,cg03466198
1442,cg01837657
1443,cg14224196
1444,cg19370934
1445,cg09936824
1446,cg16271017
1447,cg06521987
1448,cg05001864
1449,cg12641434
1450,cg20259401
1451,cg09392940
1452,cg15396800
1453,cg04482794
1454,cg15644742
1455,cg20535966
1456,cg04968127
1457,cg04322111
1458,cg14603098
1459,cg20711218
1460,cg09361488
1461,cg16986746
1462,cg14848383
1463,cg17386911
1464,cg01969433
1465,cg00406023
1466,cg26796135
1467,cg02547138
1468,cg20328917
1469,cg12651044
1470,cg09479389
1471,cg07888926
1472,cg24800175
1473,cg05600626
1474,cg06245997
1475,cg06721775
1476,cg22391883
1477,cg15819808
1478,cg04575016
1479,cg11327657
1480,cg26886544
1481,cg00573770
1482,cg11199827
1483,cg10644772
1484,cg09415601
1485,cg04698434
1486,cg25504403
1487,cg11647651
1488,cg10553028
1489,cg15166552
1490,cg05085132
1491,cg14443515
1492,cg16249355
1493,cg10937807
1494,cg06185423
1495,cg06294637
1496,cg13735453
1497,cg12297440
1498,cg13949487
1499,cg07196207
1500,cg11348583
1501,cg22218911
1502,cg19260500
1503,cg22317104
1504,cg25566507
1505,cg10542562
1506,cg24541426
1507,cg20822365
1508,cg23226852
1509,cg17802005
1510,cg19384531
1511,cg11387577
1512,cg01023787
1513,cg10353388
1514,cg13187009
1515,cg25991468
1516,cg09836921
1517,cg17370481
1518,cg08469215
1519,cg05039080
1520,cg10541887
1521,cg21466874
1522,cg10403171
1523,cg02266771
1524,cg01665212
1525,cg00912164
1526,cg24491766
1527,cg04567140
1528,cg07150925
1529,cg12572987
1530,cg23395715
1531,cg10323725
1532,cg13941474
1533,cg09722315
1534,cg01943478
1535,cg22435081
1536,cg02930037
1537,cg09879727
1538,cg26561623
1539,cg21714878
1540,cg24995657
1541,cg06047473
1542,cg11947801
1543,cg08827060
1544,cg22690212
1545,cg18208742
1546,cg20141910
1547,cg18711899
1548,cg04843066
1549,cg19301058
1550,cg06646682
1551,cg11002851
1552,cg06620654
1553,cg18879780
1554,cg22000938
1555,cg12941622
1556,cg23001456
1557,cg10783469
1558,cg15217867
1559,cg06220235
1560,cg01561160
1561,cg22610533
1562,cg15096815
1563,cg07094735
1564,cg08265790
1565,cg11941520
1566,cg05191076
1567,cg27442308
1568,cg21686797
1569,cg07871302
1570,cg16951550
1571,cg02332902
1572,cg05633407
1573,cg22762091
1574,cg14315058
1575,cg22944662
1576,cg19573456
1577,cg26736200
1578,cg09523186
1579,cg22261669
1580,cg23255835
1581,cg16619662
1582,cg02599498
1583,cg22944823
1584,cg26224499
1585,cg20719524
1586,cg09010671
1587,cg23696472
1588,cg04145643
1589,cg09974136
1590,cg03093838
1591,cg04132264
1592,cg26418147
1593,cg00735883
1594,cg20321329
1595,cg21846876
1596,cg04301623
1597,cg17115147
1598,cg07665607
1599,cg22625098
1600,cg15042692
1601,cg00881185
1602,cg17691292
1603,cg25778892
1604,cg24611351
1605,cg15321108
1606,cg00542224
1607,cg00446065
1608,cg20223162
1609,cg04109781
1610,cg01110955
1611,cg14199833
1612,cg10020325
1613,cg09068128
1614,cg06059056
1615,cg12753895
1616,cg05964557
1617,cg03920623
1618,cg00997530
1619,cg10954469
1620,cg00094901
1621,cg01367310
1622,cg03253831
1623,cg01642827
1624,cg11855526
1625,cg18050295
1626,cg17477273
1627,cg23041332
1628,cg11206526
1629,cg00613914
1630,cg07363137
1631,cg23778310
1632,cg17415581
1633,cg02548780
1634,cg24857238
1635,cg01450642
1636,cg12428906
1637,cg06405765
1638,cg16347018
1639,cg12871990
1640,cg13640626
1641,cg11022985
1642,cg10966235
1643,cg19282928
1644,cg04261791
1645,cg05083414
1646,cg13703912
1647,cg14225146
1648,cg13186010
1649,cg22490254
1650,cg13513411
1651,cg13965321
1652,cg01563031
1653,cg13078563
1654,cg13751417
1655,cg09332171
1656,cg26714650
1657,cg27106726
1658,cg13539424
1659,cg09643340
1660,cg23933606
1661,cg03038233
1662,cg27504802
1663,cg13986661
1664,cg15219506
1665,cg21818602
